"File","Method","p","converged","time2"
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_1.00_",256,NA,1951.74203777102
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_2.00_",256,NA,3025.19380565013
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","phenix",512,NA,2106.785
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_0.50_",512,NA,1914.74569880559
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_1.00_",512,NA,2483.2335339134
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_2.00_",512,NA,5076.60855244503
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_0.50_",1024,NA,2546.3469046131
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_1.00_",1024,NA,3410.29676332126
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_2.00_",1024,NA,6904.69949212407
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_0.50_",2048,NA,4189.05188834331
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_1.00_",2048,NA,5634.42618900475
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_2.00_",2048,NA,11498.3756714949
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_0.50_",4096,NA,7501.53983773711
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_1.00_",4096,NA,10060.1638058382
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_2.00_",4096,NA,19897.373341502
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_0.50_",8192,NA,15265.8938007492
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_1.00_",8192,NA,20202.7302699518
"Results_At_1001/Times_At_1001_tmp_001_subset.csv","MegaLMM_2.00_",8192,NA,38701.656327066
"Results_At_1001/Times_At_1001_tmp_002_all_all.csv","MegaLMM_0.50_",20842,NA,81858.5843956788
"Results_At_1001/Times_At_1001_tmp_002_all_all.csv","MegaLMM_1.00_",20842,NA,81026.3491034209
"Results_At_1001/Times_At_1001_tmp_002_all_all.csv","MegaLMM_2.00_",20842,NA,149746.628946712
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MTG2",4,FALSE,0.113
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MCMCglmm",4,NA,12.7233833974252
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","phenix",4,NA,1.052
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_0.50_",4,NA,137.371466176218
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_1.00_",4,NA,144.065517930777
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_2.00_",4,NA,440.051981398548
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MTG2",8,FALSE,1.22000000000003
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MCMCglmm",8,NA,35.0211296806049
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","phenix",8,NA,2.49800000000005
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_0.50_",8,NA,359.868018299233
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_1.00_",8,NA,369.971392392267
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_2.00_",8,NA,511.419871645705
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MTG2",16,FALSE,7.97800000000007
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MCMCglmm",16,NA,120.786998567217
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","phenix",16,NA,5.21199999999999
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_0.50_",16,NA,369.764226024047
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_1.00_",16,NA,567.466532761726
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_2.00_",16,NA,1024.55043271488
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MTG2",32,FALSE,207.797
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MCMCglmm",32,NA,718.529066479734
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","phenix",32,NA,16.6890000000003
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_0.50_",32,NA,644.330553427807
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_1.00_",32,NA,1211.41348396457
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_2.00_",32,NA,1240.63646204969
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MTG2",64,TRUE,3302.109
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MCMCglmm",64,NA,4821.93679137815
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","phenix",64,NA,241.266
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_0.50_",64,NA,2694.06548565451
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_1.00_",64,NA,3135.58218854302
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_2.00_",64,NA,6610.31893647085
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","phenix",128,NA,258.388000000003
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_0.50_",128,NA,2206.23277990245
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_1.00_",128,NA,1933.6314969092
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_2.00_",128,NA,2678.97599932555
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","phenix",256,NA,983.282000000003
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_0.50_",256,NA,7065.61679380967
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_1.00_",256,NA,10288.6282674792
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_2.00_",256,NA,9206.99999858676
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","phenix",512,NA,2193.565
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_0.50_",512,NA,4575.68129413059
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_1.00_",512,NA,5195.98068882665
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_2.00_",512,NA,9282.91976996682
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_0.50_",1024,NA,4600.18687456403
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_1.00_",1024,NA,6476.96751892664
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_2.00_",1024,NA,12918.1850716852
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_0.50_",2048,NA,14383.8577366775
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_1.00_",2048,NA,18782.1929735223
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_2.00_",2048,NA,24329.8405315777
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_0.50_",4096,NA,15596.1352153376
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_1.00_",4096,NA,19913.2125191643
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_2.00_",4096,NA,40220.3217862138
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_0.50_",8192,NA,28588.2477019332
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_1.00_",8192,NA,33522.4644808528
"Results_At_1001/Times_At_1001_tmp_002_subset.csv","MegaLMM_2.00_",8192,NA,62875.6908134359
"Results_At_1001/Times_At_1001_tmp_003_all_all.csv","MegaLMM_0.50_",20842,NA,50705.3889783131
"Results_At_1001/Times_At_1001_tmp_003_all_all.csv","MegaLMM_1.00_",20842,NA,62895.0521877347
"Results_At_1001/Times_At_1001_tmp_003_all_all.csv","MegaLMM_2.00_",20842,NA,124184.611678855
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MTG2",4,FALSE,0.305
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MCMCglmm",4,NA,11.7349795651387
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","phenix",4,NA,1.947
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_0.50_",4,NA,108.787499527153
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_1.00_",4,NA,131.870670030327
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_2.00_",4,NA,293.469132910218
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MTG2",8,FALSE,1.00100000000003
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MCMCglmm",8,NA,36.0673744221886
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","phenix",8,NA,1.42499999999995
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_0.50_",8,NA,203.200066190846
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_1.00_",8,NA,257.82429947025
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_2.00_",8,NA,402.271946630086
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MTG2",16,TRUE,21.8380000000002
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MCMCglmm",16,NA,124.531518054837
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","phenix",16,NA,6.8119999999999
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_0.50_",16,NA,257.158050498212
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_1.00_",16,NA,385.897561286372
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_2.00_",16,NA,704.694354635329
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MTG2",32,TRUE,213.154
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MCMCglmm",32,NA,688.065518463277
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","phenix",32,NA,12.3849999999998
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_0.50_",32,NA,431.722789579906
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_1.00_",32,NA,916.00043297594
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_2.00_",32,NA,1026.71469712643
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MTG2",64,TRUE,3067.94
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MCMCglmm",64,NA,4886.42865728718
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","phenix",64,NA,36.3610000000008
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_0.50_",64,NA,1168.51227951941
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_1.00_",64,NA,1379.28968790989
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_2.00_",64,NA,985.48597412425
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","phenix",128,NA,243.844999999999
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_0.50_",128,NA,1464.86540197082
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_1.00_",128,NA,1173.25733031842
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_2.00_",128,NA,1822.80714896509
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","phenix",256,NA,860.215
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_0.50_",256,NA,1581.706927761
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_1.00_",256,NA,2152.59808702744
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_2.00_",256,NA,3516.79792723833
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","phenix",512,NA,1900.738
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_0.50_",512,NA,2433.93554133716
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_1.00_",512,NA,3239.70399149516
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_2.00_",512,NA,6930.31974875158
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_0.50_",1024,NA,3527.24691197668
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_1.00_",1024,NA,4659.13063092746
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_2.00_",1024,NA,9510.67640975866
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_0.50_",2048,NA,6136.65054878082
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_1.00_",2048,NA,8732.44738762993
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_2.00_",2048,NA,16133.966379057
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_0.50_",4096,NA,10806.8874544614
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_1.00_",4096,NA,13801.8772453539
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_2.00_",4096,NA,27135.8660463106
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_0.50_",8192,NA,21851.5729840939
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_1.00_",8192,NA,26879.5612873631
"Results_At_1001/Times_At_1001_tmp_003_subset.csv","MegaLMM_2.00_",8192,NA,58613.200688963
"Results_At_1001/Times_At_1001_tmp_004_all_all.csv","MegaLMM_0.50_",20842,NA,52574.0939209356
"Results_At_1001/Times_At_1001_tmp_004_all_all.csv","MegaLMM_1.00_",20842,NA,65751.8013798994
"Results_At_1001/Times_At_1001_tmp_004_all_all.csv","MegaLMM_2.00_",20842,NA,128445.05247984
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MTG2",4,FALSE,0.139000000000001
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MCMCglmm",4,NA,13.4805932592518
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","phenix",4,NA,0.972000000000001
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_0.50_",4,NA,114.459724141008
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_1.00_",4,NA,130.225664139223
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_2.00_",4,NA,305.801070045025
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MTG2",8,FALSE,1.31999999999994
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MCMCglmm",8,NA,34.2639728592002
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","phenix",8,NA,1.846
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_0.50_",8,NA,192.556574049022
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_1.00_",8,NA,232.456343954496
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_2.00_",8,NA,350.610319971555
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MTG2",16,FALSE,8.08699999999999
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MCMCglmm",16,NA,120.183256783627
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","phenix",16,NA,2.41699999999992
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_0.50_",16,NA,259.499773548686
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_1.00_",16,NA,420.325731433827
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_2.00_",16,NA,794.246453252229
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MTG2",32,FALSE,95.402
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MCMCglmm",32,NA,775.220609846022
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","phenix",32,NA,14.6320000000001
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_0.50_",32,NA,476.614239977355
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_1.00_",32,NA,961.598248262394
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_2.00_",32,NA,971.968196330818
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MTG2",64,TRUE,3204.71
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MCMCglmm",64,NA,4947.69384521996
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","phenix",64,NA,67.0849999999991
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_0.50_",64,NA,1918.06820840084
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_1.00_",64,NA,1324.8612058939
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_2.00_",64,NA,1072.9551135539
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","phenix",128,NA,214.565000000001
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_0.50_",128,NA,1423.00408688416
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_1.00_",128,NA,1214.34144881567
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_2.00_",128,NA,1775.65341309539
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","phenix",256,NA,850.452000000001
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_0.50_",256,NA,1506.05001732609
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_1.00_",256,NA,2342.93950993266
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_2.00_",256,NA,3638.03552320858
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","phenix",512,NA,1861.991
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_0.50_",512,NA,2515.05015045985
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_1.00_",512,NA,3472.65712438313
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_2.00_",512,NA,6858.80808439161
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_0.50_",1024,NA,3608.96491193114
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_1.00_",1024,NA,4763.97203658518
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_2.00_",1024,NA,9689.47296870991
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_0.50_",2048,NA,6062.491472834
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_1.00_",2048,NA,8679.01157117414
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_2.00_",2048,NA,16036.4717781027
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_0.50_",4096,NA,10805.6857718079
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_1.00_",4096,NA,13997.4103673761
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_2.00_",4096,NA,27294.0419161105
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_0.50_",8192,NA,21908.8958093865
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_1.00_",8192,NA,27735.998051774
"Results_At_1001/Times_At_1001_tmp_004_subset.csv","MegaLMM_2.00_",8192,NA,63568.7678092722
"Results_At_1001/Times_At_1001_tmp_005_all_all.csv","MegaLMM_0.50_",20842,NA,52176.292349075
"Results_At_1001/Times_At_1001_tmp_005_all_all.csv","MegaLMM_1.00_",20842,NA,65905.9006234502
"Results_At_1001/Times_At_1001_tmp_005_all_all.csv","MegaLMM_2.00_",20842,NA,141344.486485975
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MTG2",4,FALSE,0.122999999999999
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MCMCglmm",4,NA,12.3749215202553
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","phenix",4,NA,1.836
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MegaLMM_0.50_",4,NA,119.532784184945
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MegaLMM_1.00_",4,NA,132.199394329967
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MegaLMM_2.00_",4,NA,333.882596680847
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MTG2",8,FALSE,1.58100000000002
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MCMCglmm",8,NA,35.6151190969536
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","phenix",8,NA,3.072
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MegaLMM_0.50_",8,NA,266.820290727457
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MegaLMM_1.00_",8,NA,245.306164724666
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MegaLMM_2.00_",8,NA,336.088743636228
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MTG2",16,FALSE,6.64100000000008
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MCMCglmm",16,NA,122.000711965091
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","phenix",16,NA,5.40100000000007
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MegaLMM_0.50_",16,NA,225.341648064951
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MegaLMM_1.00_",16,NA,393.820040824739
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MegaLMM_2.00_",16,NA,743.850438782594
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MTG2",32,FALSE,145.181
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MCMCglmm",32,NA,747.5616980902
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","phenix",32,NA,14.806
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MegaLMM_0.50_",32,NA,430.964553500313
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MegaLMM_1.00_",32,NA,997.895146809209
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MegaLMM_2.00_",32,NA,1108.43709795373
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MTG2",64,TRUE,3255.89
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MCMCglmm",64,NA,5058.37104934627
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","phenix",64,NA,81.348
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MegaLMM_0.50_",64,NA,2737.1190060278
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MegaLMM_1.00_",64,NA,3166.37573752311
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MegaLMM_2.00_",64,NA,5141.32765087366
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","phenix",128,NA,189.503000000001
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MegaLMM_0.50_",128,NA,1791.10617227053
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MegaLMM_1.00_",128,NA,1338.30211788857
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MegaLMM_2.00_",128,NA,1814.03185263932
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","phenix",256,NA,780.260999999999
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MegaLMM_0.50_",256,NA,1828.56401748518
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MegaLMM_1.00_",256,NA,2735.23257480455
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","MegaLMM_2.00_",256,NA,3943.0788270528
"Results_At_1001/Times_At_1001_tmp_005_subset.csv","phenix",512,NA,2031.086
